,Date,Symbol,High,Adj_Close,Volume,Open,Close,Low
179,2015-11-10,WFT.TO,46.959999,46.175646,136000,46.279999,46.389999,45.470001
180,2015-11-09,WFT.TO,47.580002,46.275187,126100,46.98,46.490002,45.720001
181,2015-11-06,WFT.TO,47.669998,46.514076,125900,47.07,46.73,45.959999
182,2015-11-05,WFT.TO,47.799999,47.091397,279400,46.299999,47.310001,45.619999
183,2015-11-04,WFT.TO,47.560001,46.384675,333700,47.299999,46.599998,45.369999
184,2015-11-03,WFT.TO,47.709999,46.862461,141400,47.07,47.080002,46.50
185,2015-11-02,WFT.TO,47.279999,46.852505,114100,46.200001,47.07,46.00
186,2015-10-30,WFT.TO,46.630001,46.056202,510600,46.380001,46.27,45.099998
187,2015-10-29,WFT.TO,47.32,46.663384,190700,46.169998,46.880001,45.639999
188,2015-10-28,WFT.TO,46.59,46.155738,541700,45.360001,46.369999,44.299999
189,2015-10-27,WFT.TO,47.48,45.180267,260300,47.00,45.389999,44.799999
190,2015-10-26,WFT.TO,48.779999,46.782828,265200,48.779999,47.00,46.970001
191,2015-10-23,WFT.TO,47.740002,47.300426,337900,45.830002,47.52,45.830002
192,2015-10-22,WFT.TO,46.849998,45.628189,282300,45.349998,45.84,44.950001
193,2015-10-21,WFT.TO,45.150002,44.941378,000,45.150002,45.150002,45.150002
194,2015-10-20,WFT.TO,47.439999,45.877033,193500,46.16,46.09,45.41
195,2015-10-19,WFT.TO,47.900002,45.936758,307800,47.610001,46.150002,45.18
196,2015-10-16,WFT.TO,48.450001,47.688623,236500,48.029999,47.91,47.360001
197,2015-10-15,WFT.TO,48.93,47.459687,197600,47.599998,47.68,47.599998
198,2015-10-14,WFT.TO,48.32,47.36015,218000,48.200001,47.580002,46.919998
199,2015-10-13,WFT.TO,48.84,47.569179,317000,48.50,47.790001,47.66
200,2015-10-09,WFT.TO,48.720001,48.345574,238900,47.150002,48.57,47.150002
201,2015-10-08,WFT.TO,47.049999,46.673336,218500,45.790001,46.889999,45.43
202,2015-10-07,WFT.TO,46.630001,45.767541,457100,42.759998,45.98,42.369999
203,2015-10-06,WFT.TO,42.279999,41.915424,284400,41.700001,42.110001,41.599998
204,2015-10-05,WFT.TO,42.150002,41.29829,470000,41.41,41.490002,41.150002
205,2015-10-02,WFT.TO,41.27,40.810552,612300,41.23,41.00,40.560001
206,2015-10-01,WFT.TO,42.57,40.939953,457900,42.360001,41.130001,40.939999
207,2015-09-30,WFT.TO,44.07,42.204085,440100,44.009998,42.400002,42.009998
208,2015-09-29,WFT.TO,46.419998,43.50803,317200,45.810001,43.709999,43.57
209,2015-09-28,WFT.TO,47.990002,45.329576,179800,47.639999,45.540001,45.349998
210,2015-09-25,WFT.TO,48.419998,47.698576,124000,47.080002,47.919998,47.07
211,2015-09-24,WFT.TO,48.009998,46.653428,277300,48.009998,46.869999,46.330002
212,2015-09-23,WFT.TO,49.32,47.907607,155600,48.599998,48.200001,47.619999
213,2015-09-22,WFT.TO,49.919998,48.245545,279900,49.919998,48.540001,48.450001
214,2015-09-21,WFT.TO,51.099998,49.965049,140000,50.049999,50.27,49.580002
215,2015-09-18,WFT.TO,51.849998,49.716566,212200,51.669998,50.02,49.919998
216,2015-09-17,WFT.TO,53.02,51.45595,319900,51.689999,51.77,51.43
217,2015-09-16,WFT.TO,52.310001,51.8734,972700,49.619999,52.189999,49.619999
218,2015-09-15,WFT.TO,50.700001,49.19972,429400,49.98,49.50,49.34
219,2015-09-14,WFT.TO,52.16,49.597295,312400,52.07,49.900002,49.599998
220,2015-09-11,WFT.TO,52.889999,52.300792,280000,50.169998,52.619999,50.169998
221,2015-09-10,WFT.TO,50.720001,49.130145,222500,49.93,49.43,49.130001
222,2015-09-09,WFT.TO,51.07,49.915353,99100,50.869999,50.220001,50.099998
223,2015-09-08,WFT.TO,51.330002,50.362621,96400,51.240002,50.669998,50.330002
224,2015-09-04,WFT.TO,51.189999,50.064441,199100,49.369999,50.369999,49.369999
225,2015-09-03,WFT.TO,50.860001,49.875595,211400,49.040001,50.18,48.959999
226,2015-09-02,WFT.TO,50.119999,48.653057,209300,49.610001,48.950001,48.68
227,2015-09-01,WFT.TO,50.889999,48.881662,274900,49.52,49.18,48.639999
228,2015-08-31,WFT.TO,52.310001,50.919225,316100,51.259998,51.23,50.310001
229,2015-08-28,WFT.TO,51.799999,51.446009,496200,49.68,51.759998,48.68
230,2015-08-27,WFT.TO,50.810001,49.448203,331100,50.50,49.75,48.93
231,2015-08-26,WFT.TO,51.009998,49.66687,234700,51.009998,49.970001,48.970001
232,2015-08-25,WFT.TO,51.75,49.627112,456300,51.75,49.93,49.23
